1:Mã dịch vụ - 2: Tên dịch vụ - 3:Diện tích sử dụng - 4:Chi phí thuê - 5:Số lượng người tối đa - 6:Loại cho thuê - 7:Tiêu chuẩn phòng - 8: Số tầng - 9: Diện tích hồ bơi - 10: số lần booking.
SVVL-1111$$Villa đơn lập$$1200,00$$18000000,00$$19$$Ngày$$Vip$$10$$200,00$$1
SVVL-1112$$Villa song lập$$600,00$$14000000,00$$15$$Ngày$$Pro$$5$$200,00$$2
SVVL-1113$$Villa liền kề$$300,00$$8000000,00$$10$$Ngày$$Vip$$3$$200,00$$3
SVVL-1114$$Villa liền kề$$250,00$$6000000,00$$9$$Ngày$$Normal$$4$$200,00$$5
SVVL-1234$$Villa house$$32,00$$12,00$$16$$theo ngay$$tiêu chuan vip$$2$$34,00$$0
SVVL-5678$$Villa Vip$$32,00$$120000,00$$12$$thang$$vip$$3$$40,00$$0
SVVL-4356$$Villa Vipp$$33,00$$12000000,00$$12$$ngay$$vip$$3$$34,00$$0
SVVL-6543$$Villa Hose$$32,00$$1200000,00$$2$$Ngày$$vip$$4$$34,00$$0
SVVL-4567$$Villa Hosw$$34,00$$1200000,00$$12$$Tháng$$Vip$$3$$43,00$$0
SVVL-8765$$Villa Hode$$34,00$$12000,00$$12$$Ngay$$Vip$$4$$67,00$$0
SVVL-0987$$Villa House$$34,00$$1200000,00$$12$$Ngày$$Vip$$12$$45,00$$0
SVVL-1237$$Villa Vip E$$34,00$$120000,00$$19$$Theo giờ$$Normal$$2$$40,00$$0
